Identificador do processo de viagem,Número da Proposta (PCDP),Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço,Data da emissão/compra,Hora da emissão/compra
19377314,000001/24,Aéreo,Rússia,,Moscou,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"11336,43","0,00",19/12/2023,16:09
19377424,000005/24,Aéreo,Peru,,Lima,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1962,65","0,00",27/10/2023,11:51
19377472,000008/24,Aéreo,China,,Pequim,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"8971,15","0,00",27/10/2023,11:32
19377571,000009/24,Aéreo,China,,Pequim,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"8971,15","0,00",27/10/2023,11:36
19377656,000010/24,Aéreo,China,,Pequim,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"8971,15","0,00",27/10/2023,11:40
19377725,000006/24,Aéreo,Reino Unido,,Londres,Brasil,São Paulo,São Paulo,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4220,65","0,00",27/10/2023,11:18
19377791,000007/24,Aéreo,Reino Unido,,Londres,Brasil,São Paulo,São Paulo,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4220,60","0,00",27/10/2023,11:25
19377832,000013/24,Aéreo,Itália,,Roma,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3051,20","0,00",27/10/2023,11:56
19377958,000016/24,Aéreo,Itália,,Roma,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3475,99","0,00",27/10/2023,13:03
19377979,000015/24,Aéreo,Itália,,Roma,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3475,99","0,00",27/10/2023,13:14
19378400,000011/24,Aéreo,Bélgica,,Bruxelas,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"5106,26","0,00",27/10/2023,13:13
19379923,000049/24,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Corning - Nova Iorque,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3653,78","0,00",22/11/2023,20:06
19379923,000049/24,Aéreo,Estados Unidos da América,,Filadelfia - Pensilvânia,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3653,78","0,00",22/11/2023,20:06
19380149,000050/24,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Corning - Nova Iorque,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4058,00","0,00",22/11/2023,20:26
